dec ra err type kind energy time
-43.92332 79.78307 0 null gamma_ray 357.3467 1498091510.528
-69.17445 106.0981 0 null gamma_ray 46.61076 1498091510.5729
-44.0816 24.8149 0 null gamma_ray 491.0089 1498091510.6046
-59.7428 219.5548 0 null gamma_ray 161.8714 1498091510.6665
-41.11081 87.24679 0 null gamma_ray 164.055 1498091510.7043
-62.39503 46.40707 0 null gamma_ray 99.54085 1498091510.7818
-45.62258 277.0746 0 null gamma_ray 512.0146 1498091511.9856
-53.05708 108.821 0 null gamma_ray 438.1397 1498091512.2739
-45.84024 82.32629 0 null gamma_ray 875.3786 1498091512.4728
-27.70943 61.00531 0 null gamma_ray 2008.222 1498091513.0444
-33.50889 62.95438 0 null gamma_ray 170.2722 1498091513.202
-54.15601 124.8665 0 null gamma_ray 384.2768 1498091513.2047
-49.06355 137.2738 0 null gamma_ray 479.872 1498091513.2613
-43.66713 92.65682 0 null gamma_ray 618.9607 1498091513.5263
-10.13864 285.6854 0 null gamma_ray 247.7035 1498091513.986
-34.18559 70.61398 0 null gamma_ray 268.1925 1498091514.1163
-39.31879 71.94167 0 null gamma_ray 3270.975 1498091514.8609
-28.28711 356.8398 0 null gamma_ray 95.26729 1498091514.995
-49.05915 130.804 0 null gamma_ray 376.982 1498091515.5059
-34.43842 68.30647 0 null gamma_ray 1247.591 1498091515.7596
-49.13384 124.9728 0 null gamma_ray 651.674 1498091515.8606
-40.44709 86.70607 0 null gamma_ray 214.3273 1498091515.964
-43.7533 299.4648 0 null gamma_ray 166.5224 1498091516.0359
-51.46988 99.77553 0 null gamma_ray 541.1476 1498091516.049
-18.30896 56.93499 0 null gamma_ray 971.7568 1498091516.2047
-50.29567 120.2347 0 null gamma_ray 288.6754 1498091516.7197
-43.72869 77.26479 0 null gamma_ray 362.2 1498091516.9911
-28.37144 78.8485 0 null gamma_ray 238.7479 1498091517.1403
-44.42604 83.25912 0 null gamma_ray 254.9689 1498091518.144
-19.43708 56.55754 0 null gamma_ray 1161.783 1498091518.2481
-47.89709 143.3474 0 null gamma_ray 1659.135 1498091518.4164
-56.16203 163.9942 0 null gamma_ray 31.39627 1498091518.4756
-42.88776 257.5172 0 null gamma_ray 115.2927 1498091518.5368
-54.59355 102.5177 0 null gamma_ray 406.6843 1498091518.8903
-50.84966 238.7192 0 null gamma_ray 87.65941 1498091519.1586
-3.639124 348.6508 0 null gamma_ray 119.6501 1498091519.3279
-53.24886 114.1726 0 null gamma_ray 555.9208 1498091519.5564
-53.98499 103.9709 0 null gamma_ray 386.11 1498091520.0861
-26.86932 79.18246 0 null gamma_ray 470.9746 1498091520.1402
-51.66939 94.32877 0 null gamma_ray 172.4644 1498091520.2597
-7.583543 335.0883 0 null gamma_ray 163.3795 1498091520.871
-51.98984 110.368 0 null gamma_ray 346.9329 1498091521.0084
-43.29987 115.859 0 null gamma_ray 127.1326 1498091521.3467
-43.97994 77.49315 0 null gamma_ray 197.6553 1498091521.7412
-44.64143 149.8287 0 null gamma_ray 172.6777 1498091521.9212
-42.73429 77.26453 0 null gamma_ray 458.9529 1498091522.1168
-46.88342 134.3263 0 null gamma_ray 114.7894 1498091522.5677
-26.066 335.5515 0 null gamma_ray 69.57327 1498091522.7308
-48.67246 120.2371 0 null gamma_ray 127.0514 1498091522.924
-39.67387 70.91087 0 null gamma_ray 229.9706 1498091522.9811
-43.20459 83.83246 0 null gamma_ray 462.4307 1498091523.5279
-63.1026 225.9632 0 null gamma_ray 593.1075 1498091523.8515
-51.4007 137.5912 0 null gamma_ray 496.676 1498091523.9228
-45.06116 116.3389 0 null gamma_ray 72.73367 1498091524.3653
-47.27018 95.23631 0 null gamma_ray 44.63501 1498091524.8531
-46.7112 81.55482 0 null gamma_ray 117.4337 1498091525.3529
-47.82555 125.4838 0 null gamma_ray 145.1438 1498091525.8914
-45.93113 32.73182 0 null gamma_ray 80.26097 1498091526.1291
-53.10282 114.131 0 null gamma_ray 168.1978 1498091526.2713
-51.26656 97.46171 0 null gamma_ray 258.3079 1498091526.2951
-48.08699 94.12151 0 null gamma_ray 413.1667 1498091526.3669
-32.09177 68.08452 0 null gamma_ray 264.7198 1498091526.6442
-12.37243 277.7772 0 null gamma_ray 1802.903 1498091526.6522
-22.87359 46.83815 0 null gamma_ray 70.30723 1498091526.957
-46.02539 75.62718 0 null gamma_ray 107.0018 1498091527.1357
-47.16408 257.1495 0 null gamma_ray 121.8345 1498091527.2901
-41.80605 264.8139 0 null gamma_ray 40.25245 1498091527.382
-30.38924 267.2337 0 null gamma_ray 340.4069 1498091527.6486
-22.93554 319.2444 0 null gamma_ray 1287.231 1498091527.6663
-31.68488 74.49243 0 null gamma_ray 387.052 1498091527.7658
-30.82509 267.3268 0 null gamma_ray 554.0825 1498091528.1616
-45.04513 94.66849 0 null gamma_ray 910.2868 1498091528.2291
-41.53512 77.39152 0 null gamma_ray 733.9246 1498091528.4445
-51.83789 126.7598 0 null gamma_ray 236.4516 1498091528.4472
-42.79428 70.50807 0 null gamma_ray 104.0857 1498091528.4662
-53.07809 121.0977 0 null gamma_ray 640.676 1498091528.5879
-49.39406 106.8732 0 null gamma_ray 659.7183 1498091528.8292
-51.71938 95.01189 0 null gamma_ray 545.8046 1498091528.8511
-32.98541 66.13428 0 null gamma_ray 1429.062 1498091528.8545
-47.04254 145.4529 0 null gamma_ray 113.6076 1498091528.8594
